REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
Globe,ID,ALUPLANT,C1_F_CLS,2010,2.269803546305
Globe,ID,ALUPLANT,C1_F_CLS,2011,2.2993421415515
Globe,ID,ALUPLANT,C1_F_CLS,2012,2.398881622228
Globe,ID,ALUPLANT,C1_F_CLS,2013,2.4207166679828003
Globe,ID,ALUPLANT,C1_F_CLS,2014,2.4351915733104006
Globe,ID,ALUPLANT,C1_F_CLS,2015,2.4045554418916004
Globe,ID,ALUPLANT,C1_F_CLS,2016,2.4397819079297998
Globe,ID,ALUPLANT,C1_F_CLS,2017,2.4957738327366
Globe,ID,ALUPLANT,C1_F_CLS,2018,2.6904814836899997
Globe,ID,ALUPLANT,C1_F_CLS,2019,2.8416635884368002
Globe,ID,ALUPLANT,C1_F_CLS,2020,2.8994247006119998
Globe,ID,ALUPLANT,C1_F_CLS,2021,2.8523249821432
Globe,ID,ALUPLANT,C1_F_CLS,2022,2.9061819457811997
Globe,ID,ALUPLANT,C1_F_CLS,2023,2.8915103005331995
Globe,ID,ALUPLANT,C1_F_CLS,2024,2.9124335474507004
Globe,ID,ALUPLANT,C1_F_CLS,2025,2.9153747820717997
Globe,ID,ALUPLANT,C1_F_CLS,2026,2.8277389481348
Globe,ID,ALUPLANT,C1_F_CLS,2027,2.8681061328919997
Globe,ID,ALUPLANT,C1_F_CLS,2028,2.9220575670656
Globe,ID,ALUPLANT,C1_F_CLS,2029,2.925957977865
Globe,ID,ALUPLANT,C1_F_CLS,2030,2.9283291714599997
Globe,ID,ALUPLANT,C1_F_CLS,2031,2.89876132836
Globe,ID,ALUPLANT,C1_F_CLS,2032,2.8677792301604996
Globe,ID,ALUPLANT,C1_F_CLS,2033,2.9039383619841
Globe,ID,ALUPLANT,C1_F_CLS,2034,2.9367250362208
Globe,ID,ALUPLANT,C1_F_CLS,2035,2.9385762511323
Globe,ID,ALUPLANT,C1_F_CLS,2036,2.9070325108152
Globe,ID,ALUPLANT,C1_F_CLS,2037,2.8963130619951998
Globe,ID,ALUPLANT,C1_F_CLS,2038,2.9391445861523002
Globe,ID,ALUPLANT,C1_F_CLS,2039,2.9449927901004003
Globe,ID,ALUPLANT,C1_F_CLS,2040,2.9463727595314
Globe,ID,ALUPLANT,C1_F_CLS,2041,2.9476580488673996
Globe,ID,ALUPLANT,C1_F_CLS,2042,2.9488510385375997
Globe,ID,ALUPLANT,C1_F_CLS,2043,2.9499690970506003
Globe,ID,ALUPLANT,C1_F_CLS,2044,2.9509867220282
Globe,ID,ALUPLANT,C1_F_CLS,2045,2.9519381968028
Globe,ID,ALUPLANT,C1_F_CLS,2046,2.9528085660620995
Globe,ID,ALUPLANT,C1_F_CLS,2047,2.9535890290788
Globe,ID,ALUPLANT,C1_F_CLS,2048,2.9543018009033
Globe,ID,ALUPLANT,C1_F_CLS,2049,2.9549217568635
Globe,ID,ALUPLANT,C1_F_CLS,2050,2.95548242654
Globe,ID,ALUPLANT,C1_F_CLS,2051,2.95548242654
Globe,ID,ALUPLANT,C1_F_CLS,2052,2.95548242654
Globe,ID,ALUPLANT,C1_F_CLS,2053,2.95548242654
Globe,ID,ALUPLANT,C1_F_CLS,2054,2.95548242654
Globe,ID,ALUPLANT,C1_F_CLS,2055,2.95548242654
Globe,ID,ALUPLANT,C1_F_CLS,2056,2.95548242654
Globe,ID,ALUPLANT,C1_F_CLS,2057,2.95548242654
Globe,ID,ALUPLANT,C1_F_CLS,2058,2.95548242654
Globe,ID,ALUPLANT,C1_F_CLS,2059,2.95548242654
Globe,ID,ALUPLANT,C1_F_CLS,2060,2.95548242654
Globe,ID,ALUPLANT,C1_F_CLS,2061,2.95548242654
Globe,ID,ALUPLANT,C1_F_CLS,2062,2.95548242654
Globe,ID,ALUPLANT,C1_F_CLS,2063,2.95548242654
Globe,ID,ALUPLANT,C1_F_CLS,2064,2.95548242654
Globe,ID,ALUPLANT,C1_F_CLS,2065,2.95548242654
Globe,ID,ALUPLANT,C1_F_CLS,2066,2.95548242654
Globe,ID,ALUPLANT,C1_F_CLS,2067,2.95548242654
Globe,ID,ALUPLANT,C1_F_CLS,2068,2.95548242654
Globe,ID,ALUPLANT,C1_F_CLS,2069,2.95548242654
Globe,ID,ALUPLANT,C1_F_CLS,2070,2.95548242654
Globe,ID,ALUPLANT,C1_F_HEA_I,2010,1.03691479821
Globe,ID,ALUPLANT,C1_F_HEA_I,2011,1.0532296866929
Globe,ID,ALUPLANT,C1_F_HEA_I,2012,1.1017801547662
Globe,ID,ALUPLANT,C1_F_HEA_I,2013,1.1147974396988
Globe,ID,ALUPLANT,C1_F_HEA_I,2014,1.124476529112
Globe,ID,ALUPLANT,C1_F_HEA_I,2015,1.1133136074704
Globe,ID,ALUPLANT,C1_F_HEA_I,2016,1.1326641147696
Globe,ID,ALUPLANT,C1_F_HEA_I,2017,1.1617750442298
Globe,ID,ALUPLANT,C1_F_HEA_I,2018,1.255778098575
Globe,ID,ALUPLANT,C1_F_HEA_I,2019,1.3299087885936
Globe,ID,ALUPLANT,C1_F_HEA_I,2020,1.360596301122
Globe,ID,ALUPLANT,C1_F_HEA_I,2021,1.3420973369624
Globe,ID,ALUPLANT,C1_F_HEA_I,2022,1.371117829626
Globe,ID,ALUPLANT,C1_F_HEA_I,2023,1.3678671616836
Globe,ID,ALUPLANT,C1_F_HEA_I,2024,1.3814737720927002
Globe,ID,ALUPLANT,C1_F_HEA_I,2025,1.3866001612402
Globe,ID,ALUPLANT,C1_F_HEA_I,2026,1.348540807824
Globe,ID,ALUPLANT,C1_F_HEA_I,2027,1.371475878292
Globe,ID,ALUPLANT,C1_F_HEA_I,2028,1.4010387708212
Globe,ID,ALUPLANT,C1_F_HEA_I,2029,1.406697480851
Globe,ID,ALUPLANT,C1_F_HEA_I,2030,1.4116319217
Globe,ID,ALUPLANT,C1_F_HEA_I,2031,1.4011455594120001
Globe,ID,ALUPLANT,C1_F_HEA_I,2032,1.3899133215715997
Globe,ID,ALUPLANT,C1_F_HEA_I,2033,1.4112371288031
Globe,ID,ALUPLANT,C1_F_HEA_I,2034,1.431020754174
Globe,ID,ALUPLANT,C1_F_HEA_I,2035,1.4357867548377001
Globe,ID,ALUPLANT,C1_F_HEA_I,2036,1.4242138173683998
Globe,ID,ALUPLANT,C1_F_HEA_I,2037,1.4227957486816
Globe,ID,ALUPLANT,C1_F_HEA_I,2038,1.4477354814015
Globe,ID,ALUPLANT,C1_F_HEA_I,2039,1.4545344672587999
Globe,ID,ALUPLANT,C1_F_HEA_I,2040,1.4591535326924
Globe,ID,ALUPLANT,C1_F_HEA_I,2041,1.4637380850237998
Globe,ID,ALUPLANT,C1_F_HEA_I,2042,1.468289026848
Globe,ID,ALUPLANT,C1_F_HEA_I,2043,1.4728175513758
Globe,ID,ALUPLANT,C1_F_HEA_I,2044,1.4773192851625998
Globe,ID,ALUPLANT,C1_F_HEA_I,2045,1.4817938594452
Globe,ID,ALUPLANT,C1_F_HEA_I,2046,1.4862421492604998
Globe,ID,ALUPLANT,C1_F_HEA_I,2047,1.4906594467128
Globe,ID,ALUPLANT,C1_F_HEA_I,2048,1.4950624820144
Globe,ID,ALUPLANT,C1_F_HEA_I,2049,1.4994296618373
Globe,ID,ALUPLANT,C1_F_HEA_I,2050,1.50377763375
Globe,ID,ALUPLANT,C1_F_HEA_I,2051,1.50377763375
Globe,ID,ALUPLANT,C1_F_HEA_I,2052,1.50377763375
Globe,ID,ALUPLANT,C1_F_HEA_I,2053,1.50377763375
Globe,ID,ALUPLANT,C1_F_HEA_I,2054,1.50377763375
Globe,ID,ALUPLANT,C1_F_HEA_I,2055,1.50377763375
Globe,ID,ALUPLANT,C1_F_HEA_I,2056,1.50377763375
Globe,ID,ALUPLANT,C1_F_HEA_I,2057,1.50377763375
Globe,ID,ALUPLANT,C1_F_HEA_I,2058,1.50377763375
Globe,ID,ALUPLANT,C1_F_HEA_I,2059,1.50377763375
Globe,ID,ALUPLANT,C1_F_HEA_I,2060,1.50377763375
Globe,ID,ALUPLANT,C1_F_HEA_I,2061,1.50377763375
Globe,ID,ALUPLANT,C1_F_HEA_I,2062,1.50377763375
Globe,ID,ALUPLANT,C1_F_HEA_I,2063,1.50377763375
Globe,ID,ALUPLANT,C1_F_HEA_I,2064,1.50377763375
Globe,ID,ALUPLANT,C1_F_HEA_I,2065,1.50377763375
Globe,ID,ALUPLANT,C1_F_HEA_I,2066,1.50377763375
Globe,ID,ALUPLANT,C1_F_HEA_I,2067,1.50377763375
Globe,ID,ALUPLANT,C1_F_HEA_I,2068,1.50377763375
Globe,ID,ALUPLANT,C1_F_HEA_I,2069,1.50377763375
Globe,ID,ALUPLANT,C1_F_HEA_I,2070,1.50377763375
Globe,ID,ALUPLANT,C1_P_HCO,2010,0.8710000105629999
Globe,ID,ALUPLANT,C1_P_HCO,2011,0.8854422210036
Globe,ID,ALUPLANT,C1_P_HCO,2012,0.9270288437046
Globe,ID,ALUPLANT,C1_P_HCO,2013,0.9387585176926
Globe,ID,ALUPLANT,C1_P_HCO,2014,0.9476955273408001
Globe,ID,ALUPLANT,C1_P_HCO,2015,0.9390596532058001
Globe,ID,ALUPLANT,C1_P_HCO,2016,0.9561611544911999
Globe,ID,ALUPLANT,C1_P_HCO,2017,0.9815420893122001
Globe,ID,ALUPLANT,C1_P_HCO,2018,1.0618262780124998
Globe,ID,ALUPLANT,C1_P_HCO,2019,1.12542612288
Globe,ID,ALUPLANT,C1_P_HCO,2020,1.152322449396
Globe,ID,ALUPLANT,C1_P_HCO,2021,1.1375721160968
Globe,ID,ALUPLANT,C1_P_HCO,2022,1.1631099846708002
Globe,ID,ALUPLANT,C1_P_HCO,2023,1.1612823170442
Globe,ID,ALUPLANT,C1_P_HCO,2024,1.1737707333781
Globe,ID,ALUPLANT,C1_P_HCO,2025,1.1790651196348
Globe,ID,ALUPLANT,C1_P_HCO,2026,1.147612091472
Globe,ID,ALUPLANT,C1_P_HCO,2027,1.1680584512999999
Globe,ID,ALUPLANT,C1_P_HCO,2028,1.1941772333854002
Globe,ID,ALUPLANT,C1_P_HCO,2029,1.1999378151995
Globe,ID,ALUPLANT,C1_P_HCO,2030,1.205095679304
Globe,ID,ALUPLANT,C1_P_HCO,2031,1.197077372604
Globe,ID,ALUPLANT,C1_P_HCO,2032,1.1884058681649
Globe,ID,ALUPLANT,C1_P_HCO,2033,1.2075740839028999
Globe,ID,ALUPLANT,C1_P_HCO,2034,1.225449324953
Globe,ID,ALUPLANT,C1_P_HCO,2035,1.230483845175
Globe,ID,ALUPLANT,C1_P_HCO,2036,1.2214984984992
Globe,ID,ALUPLANT,C1_P_HCO,2037,1.2212222178726002
Globe,ID,ALUPLANT,C1_P_HCO,2038,1.2435770460853
Globe,ID,ALUPLANT,C1_P_HCO,2039,1.2503677910406
Globe,ID,ALUPLANT,C1_P_HCO,2040,1.2552905405956
Globe,ID,ALUPLANT,C1_P_HCO,2041,1.2601864803672
Globe,ID,ALUPLANT,C1_P_HCO,2042,1.265057106992
Globe,ID,ALUPLANT,C1_P_HCO,2043,1.269917733505
Globe,ID,ALUPLANT,C1_P_HCO,2044,1.2747480971098
Globe,ID,ALUPLANT,C1_P_HCO,2045,1.2795692178652
Globe,ID,ALUPLANT,C1_P_HCO,2046,1.2843653249088
Globe,ID,ALUPLANT,C1_P_HCO,2047,1.2891380347146
Globe,ID,ALUPLANT,C1_P_HCO,2048,1.2939025339931
Globe,ID,ALUPLANT,C1_P_HCO,2049,1.2986385206517002
Globe,ID,ALUPLANT,C1_P_HCO,2050,1.303366936466
Globe,ID,ALUPLANT,C1_P_HCO,2051,1.3058892147
Globe,ID,ALUPLANT,C1_P_HCO,2052,1.3058892147
Globe,ID,ALUPLANT,C1_P_HCO,2053,1.3058892147
Globe,ID,ALUPLANT,C1_P_HCO,2054,1.3058892147
Globe,ID,ALUPLANT,C1_P_HCO,2055,1.3058892147
Globe,ID,ALUPLANT,C1_P_HCO,2056,1.3058892147
Globe,ID,ALUPLANT,C1_P_HCO,2057,1.3058892147
Globe,ID,ALUPLANT,C1_P_HCO,2058,1.3058892147
Globe,ID,ALUPLANT,C1_P_HCO,2059,1.3058892147
Globe,ID,ALUPLANT,C1_P_HCO,2060,1.3058892147
Globe,ID,ALUPLANT,C1_P_HCO,2061,1.3058892147
Globe,ID,ALUPLANT,C1_P_HCO,2062,1.3058892147
Globe,ID,ALUPLANT,C1_P_HCO,2063,1.3058892147
Globe,ID,ALUPLANT,C1_P_HCO,2064,1.3058892147
Globe,ID,ALUPLANT,C1_P_HCO,2065,1.3058892147
Globe,ID,ALUPLANT,C1_P_HCO,2066,1.3058892147
Globe,ID,ALUPLANT,C1_P_HCO,2067,1.3058892147
Globe,ID,ALUPLANT,C1_P_HCO,2068,1.3058892147
Globe,ID,ALUPLANT,C1_P_HCO,2069,1.3058892147
Globe,ID,ALUPLANT,C1_P_HCO,2070,1.3058892147
Globe,ID,ALUPLANT,XALU,2010,362.81493020600004
Globe,ID,ALUPLANT,XALU,2011,371.243701367925
Globe,ID,ALUPLANT,XALU,2012,391.1936872571
Globe,ID,ALUPLANT,XALU,2013,398.68029447895003
Globe,ID,ALUPLANT,XALU,2014,405.0241401168
Globe,ID,ALUPLANT,XALU,2015,403.84995644912505
Globe,ID,ALUPLANT,XALU,2016,413.75640288989996
Globe,ID,ALUPLANT,XALU,2017,427.34609156655
Globe,ID,ALUPLANT,XALU,2018,465.11085120499996
Globe,ID,ALUPLANT,XALU,2019,495.9335960628
Globe,ID,ALUPLANT,XALU,2020,510.810728175
Globe,ID,ALUPLANT,XALU,2021,507.24603353645006
Globe,ID,ALUPLANT,XALU,2022,521.6592397644
Globe,ID,ALUPLANT,XALU,2023,523.85067929835
Globe,ID,ALUPLANT,XALU,2024,532.51529618755
Globe,ID,ALUPLANT,XALU,2025,537.9471486492499
Globe,ID,ALUPLANT,XALU,2026,526.5362772095999
Globe,ID,ALUPLANT,XALU,2027,538.894553093
Globe,ID,ALUPLANT,XALU,2028,553.9787902021
Globe,ID,ALUPLANT,XALU,2029,559.687555727625
Globe,ID,ALUPLANT,XALU,2030,565.1279244599999
Globe,ID,ALUPLANT,XALU,2031,564.37261556775
Globe,ID,ALUPLANT,XALU,2032,563.25289144455
Globe,ID,ALUPLANT,XALU,2033,575.3447610965251
Globe,ID,ALUPLANT,XALU,2034,586.9006504036
Globe,ID,ALUPLANT,XALU,2035,592.348707075375
Globe,ID,ALUPLANT,XALU,2036,591.0286076766
Globe,ID,ALUPLANT,XALU,2037,593.8850026698501
Globe,ID,ALUPLANT,XALU,2038,607.7917313661001
Globe,ID,ALUPLANT,XALU,2039,614.1506688631499
Globe,ID,ALUPLANT,XALU,2040,619.6057075145
Globe,ID,ALUPLANT,XALU,2041,625.0620676441499
Globe,ID,ALUPLANT,XALU,2042,630.5174341312
Globe,ID,ALUPLANT,XALU,2043,635.97635084455
Globe,ID,ALUPLANT,XALU,2044,641.4342137481
Globe,ID,ALUPLANT,XALU,2045,646.89559935625
Globe,ID,ALUPLANT,XALU,2046,652.3581732567
Globe,ID,ALUPLANT,XALU,2047,657.819625492575
Globe,ID,ALUPLANT,XALU,2048,663.28454428255
Globe,ID,ALUPLANT,XALU,2049,668.7482748324751
Globe,ID,ALUPLANT,XALU,2050,674.2154330100001
Globe,ID,ALUPLANT,XALU,2051,674.2154330100001
Globe,ID,ALUPLANT,XALU,2052,674.2154330100001
Globe,ID,ALUPLANT,XALU,2053,674.2154330100001
Globe,ID,ALUPLANT,XALU,2054,674.2154330100001
Globe,ID,ALUPLANT,XALU,2055,674.2154330100001
Globe,ID,ALUPLANT,XALU,2056,674.2154330100001
Globe,ID,ALUPLANT,XALU,2057,674.2154330100001
Globe,ID,ALUPLANT,XALU,2058,674.2154330100001
Globe,ID,ALUPLANT,XALU,2059,674.2154330100001
Globe,ID,ALUPLANT,XALU,2060,674.2154330100001
Globe,ID,ALUPLANT,XALU,2061,674.2154330100001
Globe,ID,ALUPLANT,XALU,2062,674.2154330100001
Globe,ID,ALUPLANT,XALU,2063,674.2154330100001
Globe,ID,ALUPLANT,XALU,2064,674.2154330100001
Globe,ID,ALUPLANT,XALU,2065,674.2154330100001
Globe,ID,ALUPLANT,XALU,2066,674.2154330100001
Globe,ID,ALUPLANT,XALU,2067,674.2154330100001
Globe,ID,ALUPLANT,XALU,2068,674.2154330100001
Globe,ID,ALUPLANT,XALU,2069,674.2154330100001
Globe,ID,ALUPLANT,XALU,2070,674.2154330100001
Globe,ID,C1BFRDF00,C1_P_LFO,2010,0.10233548967600001
Globe,ID,C1BFRDF00,C1_P_LFO,2011,0.2773319724
Globe,ID,C1BFRDF00,C1_P_LFO,2012,0.2861306406
Globe,ID,C1BFRDF00,C1_P_LFO,2013,0.2476885000968
Globe,ID,C1BFRDF00,C1_P_LFO,2014,0.27418711211136
Globe,ID,C1BFRDF00,C1_P_LFO,2015,0.2682153477234
Globe,ID,C1BFRDF00,C1_P_LFO,2016,0.26224358247359997
Globe,ID,C1BFRDF00,C1_P_LFO,2017,0.11264517617472
Globe,ID,C1BFRDF00,C1_P_LFO,2018,0.09069355864800001
Globe,ID,C1BFRDF00,C1_P_LFO,2019,0.12209885546292001
Globe,ID,C1BFRDF00,C1_P_LFO,2020,0.1632081715236
Globe,ID,C1BFRDF00,C1_P_LFO,2022,0.22641299566703996
Globe,ID,C1BFRDF00,C1_P_LFO,2023,0.027835696777328996
Globe,ID,C1BFRDF00,C1_P_LFO,2024,0.039511312499736
Globe,ID,C1BFRDF00,C1_P_LFO,2025,0.11086804011779999
Globe,ID,C1BFRDF00,C1_P_LFO,2026,0.041333779406304
Globe,ID,C1BFRDF00,C1_P_LFO,2027,0.0022830129596484
Globe,ID,C1BFRDF00,C1_S_BIOL,2010,0.579901108164
Globe,ID,C1BFRDF00,C1_S_BIOL,2011,1.5715478436
Globe,ID,C1BFRDF00,C1_S_BIOL,2012,1.6214069634000001
Globe,ID,C1BFRDF00,C1_S_BIOL,2013,1.4035681672152
Globe,ID,C1BFRDF00,C1_S_BIOL,2014,1.5537269686310398
Globe,ID,C1BFRDF00,C1_S_BIOL,2015,1.5198869704326
Globe,ID,C1BFRDF00,C1_S_BIOL,2016,1.4860469673504
Globe,ID,C1BFRDF00,C1_S_BIOL,2017,0.6383226649900801
Globe,ID,C1BFRDF00,C1_S_BIOL,2018,0.513930165672
Globe,ID,C1BFRDF00,C1_S_BIOL,2019,0.6918935142898801
Globe,ID,C1BFRDF00,C1_S_BIOL,2020,0.9248463053004001
Globe,ID,C1BFRDF00,C1_S_BIOL,2022,1.28300697544656
Globe,ID,C1BFRDF00,C1_S_BIOL,2023,0.15773561507153097
Globe,ID,C1BFRDF00,C1_S_BIOL,2024,0.22389743749850397
Globe,ID,C1BFRDF00,C1_S_BIOL,2025,0.6282522273341999
Globe,ID,C1BFRDF00,C1_S_BIOL,2026,0.23422474996905598
Globe,ID,C1BFRDF00,C1_S_BIOL,2027,0.0129370734380076
Globe,ID,C1BMBRFH1,C1_P_BIOW,2010,32.42752799
Globe,ID,C1BMBRFH1,C1_P_BIOW,2011,25.129451489999997
Globe,ID,C1BMBRFH1,C1_P_BIOW,2012,26.270794549999998
Globe,ID,C1BMBRFH1,C1_P_BIOW,2013,26.22057152
Globe,ID,C1BMBRFH1,C1_P_BIOW,2014,21.205374189999997
Globe,ID,C1BMBRFH1,C1_P_BIOW,2015,18.59875589
Globe,ID,C1BMBRFH1,C1_P_BIOW,2016,15.89922477
Globe,ID,C1BMBRFH1,C1_P_BIOW,2017,17.54461709
Globe,ID,C1BMBRFH1,C1_P_BIOW,2018,16.47374443
Globe,ID,C1BMBRFH1,C1_P_BIOW,2019,14.119707887999999
Globe,ID,C1BMBRFH1,C1_P_BIOW,2020,11.765671632
Globe,ID,C1BMBRFH1,C1_P_BIOW,2021,9.891014419
Globe,ID,C1BMBRFH1,C1_P_BIOW,2022,4.845591465
Globe,ID,C1BMBRFH1,C1_P_BIOW,2023,5.256641962
Globe,ID,C1BMBRFH1,C1_P_BIOW,2024,2.9026057059999997
Globe,ID,C1BMBRFH1,C1_P_BIOW,2025,0.5485693927999999
Globe,ID,C1BMBRFH1,C1_P_BIOW,2026,0.5485693927999999
Globe,ID,C1BMBRFH1,C1_P_BIOW,2027,0.5485693927999999
Globe,ID,C1BMBRFH1,C1_P_BIOW,2028,0.5485693927999999
Globe,ID,C1BMBRFH1,C1_P_BIOW,2029,0.5485693927999999
Globe,ID,C1BMBRFH1,C1_P_BIOW,2030,0.5485693927999999
Globe,ID,C1BMBRFH1,C1_P_BIOW,2031,0.5485693927999999
Globe,ID,C1BMBRFN1,C1_P_BIOW,2010,2.6048736
Globe,ID,C1BMBRFN1,C1_P_BIOW,2011,2.6048736
Globe,ID,C1BMBRFN1,C1_P_BIOW,2012,2.6048736
Globe,ID,C1BMBRFN1,C1_P_BIOW,2013,2.6048736
Globe,ID,C1BMBRFN1,C1_P_BIOW,2014,2.6048736
Globe,ID,C1BMBRFN1,C1_P_BIOW,2015,3.9073103999999996
Globe,ID,C1BMBRFN1,C1_P_BIOW,2016,5.3958096
Globe,ID,C1BMBRFN1,C1_P_BIOW,2017,6.8843087999999995
Globe,ID,C1BMBRFN1,C1_P_BIOW,2018,8.372808
Globe,ID,C1BMBRFN1,C1_P_BIOW,2019,10.233431999999999
Globe,ID,C1BMBRFN1,C1_P_BIOW,2020,12.094056
Globe,ID,C1BMBRFN1,C1_P_BIOW,2021,13.95468
Globe,ID,C1BMBRFN1,C1_P_BIOW,2022,15.815303999999998
Globe,ID,C1BMBRFN1,C1_P_BIOW,2023,17.675928
Globe,ID,C1BMBRFN1,C1_P_BIOW,2024,19.536552
Globe,ID,C1BMBRFN1,C1_P_BIOW,2025,18.7923024
Globe,ID,C1BMBRFN1,C1_P_BIOW,2026,20.6529264
Globe,ID,C1BMBRFN1,C1_P_BIOW,2027,22.5135504
Globe,ID,C1BMBRFN1,C1_P_BIOW,2028,24.058552719999998
Globe,ID,C1BMBRFN1,C1_P_BIOW,2029,24.275721100000002
Globe,ID,C1BMBRFN1,C1_P_BIOW,2030,24.43199086
Globe,ID,C1BMBRFN1,C1_P_BIOW,2031,24.47929824
Globe,ID,C1BMBRFN1,C1_P_BIOW,2032,24.74137624
Globe,ID,C1BMBRFN1,C1_P_BIOW,2033,24.83997468
Globe,ID,C1BMBRFN1,C1_P_BIOW,2034,24.785250999999995
Globe,ID,C1BMBRFN1,C1_P_BIOW,2035,24.7535149
Globe,ID,C1BMBRFN1,C1_P_BIOW,2036,24.690291679999998
Globe,ID,C1BMBRFN1,C1_P_BIOW,2037,24.690291679999998
Globe,ID,C1BMBRFN1,C1_P_BIOW,2038,24.690291679999998
Globe,ID,C1BMBRFN1,C1_P_BIOW,2039,24.690291679999998
Globe,ID,C1BMBRFN1,C1_P_BIOW,2040,24.690291679999998
Globe,ID,C1BMBRFN1,C1_P_BIOW,2041,24.690291679999998
Globe,ID,C1BMBRFN1,C1_P_BIOW,2042,24.66821034
Globe,ID,C1BMBRFN1,C1_P_BIOW,2043,24.73514112
Globe,ID,C1BMBRFN1,C1_P_BIOW,2044,24.81898838
Globe,ID,C1BMBRFN1,C1_P_BIOW,2045,24.83530424
Globe,ID,C1BMBRFN1,C1_P_BIOW,2046,24.861759839999998
Globe,ID,C1BMBRFN1,C1_P_BIOW,2047,24.89855342
Globe,ID,C1BMBRFN1,C1_P_BIOW,2048,25.082334879999998
Globe,ID,C1BMBRFN1,C1_P_BIOW,2049,25.13705856
Globe,ID,C1BMBRFN1,C1_P_BIOW,2050,25.16879466
Globe,ID,C1BMBRFN1,C1_P_BIOW,2051,25.232017879999997
Globe,ID,C1BMBRFN1,C1_P_BIOW,2052,25.232017879999997
Globe,ID,C1BMBRFN1,C1_P_BIOW,2053,25.232017879999997
Globe,ID,C1BMBRFN1,C1_P_BIOW,2054,25.232017879999997
Globe,ID,C1BMBRFN1,C1_P_BIOW,2055,25.232017879999997
Globe,ID,C1BMBRFN1,C1_P_BIOW,2056,25.232017879999997
Globe,ID,C1BMBRFN1,C1_P_BIOW,2057,25.25409922
Globe,ID,C1BMBRFN1,C1_P_BIOW,2058,25.5027913
Globe,ID,C1BMBRFN1,C1_P_BIOW,2059,26.416283579999998
Globe,ID,C1BMBRFN1,C1_P_BIOW,2060,26.80188634
Globe,ID,C1BMBRFN1,C1_P_BIOW,2061,26.80250112
Globe,ID,C1BMBRFN1,C1_P_BIOW,2062,26.78886858
Globe,ID,C1BMBRFN1,C1_P_BIOW,2063,26.87861348
Globe,ID,C1BMBRFN1,C1_P_BIOW,2064,26.87861348
Globe,ID,C1BMBRFN1,C1_P_BIOW,2065,26.87861348
Globe,ID,C1BMBRFN1,C1_P_BIOW,2066,26.87861348
Globe,ID,C1BMBRFN1,C1_P_BIOW,2067,26.56515946
Globe,ID,C1BMBRFN1,C1_P_BIOW,2068,26.523204559999996
Globe,ID,C1BMBRFN1,C1_P_BIOW,2069,26.481091539999998
Globe,ID,C1BMBRFN1,C1_P_BIOW,2070,25.151412079999997
Globe,ID,C1BMCHP00,C1_P_BIOW,2011,2.8567264031999997
Globe,ID,C1BMCHP00,C1_P_BIOW,2012,1.6373436987
Globe,ID,C1BMCHP00,C1_P_BIOW,2013,2.662600248
Globe,ID,C1BMCHP00,C1_P_BIOW,2014,2.5663413384
Globe,ID,C1BMCHP00,C1_P_BIOW,2015,2.4794107776
Globe,ID,C1BMCHP00,C1_P_BIOW,2016,2.3841972864
Globe,ID,C1BMCHP00,C1_P_BIOW,2017,2.2895199072
Globe,ID,C1BMCHP00,C1_P_BIOW,2018,2.20409046
Globe,ID,C1BMCHP00,C1_P_BIOW,2019,1.7420607792000002
Globe,ID,C1BMCHP00,C1_P_BIOW,2020,2.3799003375
Globe,ID,C1BMCHP00,C1_P_BIOW,2021,3.1403755824
Globe,ID,C1BMCHP00,C1_P_BIOW,2022,3.6507339629999995
Globe,ID,C1BMCHP00,C1_P_BIOW,2023,3.90553248
Globe,ID,C1BMCHP00,C1_P_BIOW,2024,4.528578549
Globe,ID,C1BMCHP00,C1_P_BIOW,2025,6.244750122
Globe,ID,C1BMCHP00,C1_P_BIOW,2026,6.187175251
Globe,ID,C1BMCHP00,C1_P_BIOW,2027,5.4074078000000005
Globe,ID,C1BMCHP00,C1_P_BIOW,2028,5.45739957
Globe,ID,C1BMCHP00,C1_P_BIOW,2029,5.370933262
Globe,ID,C1BMCHP00,C1_P_BIOW,2030,5.364382426
Globe,ID,C1BMCHP00,C1_P_BIOW,2031,5.200671219
Globe,ID,C1BMCHP00,C1_P_BIOW,2032,5.313940598
Globe,ID,C1BMCHP00,C1_P_BIOW,2033,5.055171604
Globe,ID,C1BMCHP00,C1_P_BIOW,2034,4.978593023999999
Globe,ID,C1BMCHP00,C1_P_BIOW,2035,4.902014131
Globe,ID,C1BMCHP00,C1_P_BIOW,2036,4.833093409
Globe,ID,C1BMCHP00,C1_P_BIOW,2037,4.756514829
Globe,ID,C1BMCHP00,C1_P_BIOW,2038,4.679935936
Globe,ID,C1BMCHP00,C1_P_BIOW,2039,4.611015213999999
Globe,ID,C1BMCHP00,C1_P_BIOW,2040,4.534436634
Globe,ID,C1BMCHP00,C1_P_BIOW,2041,4.361542945999999
Globe,ID,C1BMCHP00,C1_P_BIOW,2042,4.381279161
Globe,ID,C1BMCHP00,C1_P_BIOW,2043,4.312358439
Globe,ID,C1BMCHP00,C1_P_BIOW,2044,4.235779859
Globe,ID,C1BMCHP00,C1_P_BIOW,2045,4.235779859
Globe,ID,C1BMCHP00,C1_P_BIOW,2046,4.235779859
Globe,ID,C1BMCHP00,C1_P_BIOW,2047,4.235779859
Globe,ID,C1BMCHP00,C1_P_BIOW,2048,4.235779859
