TIMESLICE,YEAR,MODE_OF_OPERATION,TECHNOLOGY,REGION,VALUE
ID,2010,1,ALUPLANT,Globe,1.9294277386099998
ID,2010,1,C1BFRDF00,Globe,0.097953957641
ID,2010,2,C1BFRDF00,Globe,0.158969022359
ID,2010,1,C1BMBRFH1,Globe,10.3926825719
ID,2010,1,C1BMBRFN1,Globe,1.011706416
ID,2010,1,C1BMLP000,Globe,1.13093050286
ID,2010,1,C1CO00I00,Globe,65.242918882
ID,2010,1,C1COBRFH1,Globe,2.6983655409600003
ID,2010,1,C1COCHP00,Globe,0.7211700641200001
ID,2010,1,C1COHTF03,Globe,17.5934257184
ID,2010,1,C1COIGP00,Globe,0.0433588464
ID,2010,1,C1COSCP00,Globe,16.052529000099998
ID,2010,1,C1ELEFF00,Globe,34.9874955198
ID,2010,1,C1ELRLF00,Globe,1.45499997829
ID,2010,1,C1GOCVP00,Globe,0.11118559193699999
ID,2010,1,C1GOHTF03,Globe,3.5346830217800003
ID,2010,1,C1HFGCPCH,Globe,0.06824358771899999
ID,2010,1,C1HFMRF00,Globe,39.4138
ID,2010,1,C1HTOOTFI,Globe,38.341666270699996
ID,2010,1,C1HTOOTFR,Globe,2.53617757064
ID,2010,1,C1HYDMP00,Globe,5.3221109509
ID,2010,1,C1HYMIP00,Globe,0.46097133904
ID,2010,1,C1LFBRFH1,Globe,7.242372827
ID,2010,1,C1LFBRFN1,Globe,0.7226474399999999
ID,2010,1,C1LFCCP00,Globe,0.282699678528
ID,2010,1,C1LFRDF00,Globe,8.5069833903
ID,2010,1,C1LFRLF00,Globe,3.377671
ID,2010,1,C1NG00I00,Globe,50.38178977
ID,2010,1,C1NGBRFH1,Globe,9.6141014501
ID,2010,1,C1NGBRFN1,Globe,0.7226474399999999
ID,2010,1,C1NGCCP00,Globe,3.9530771908999998
ID,2010,1,C1NGCCPCH,Globe,0.85513472886
ID,2010,1,C1NGGCP00,Globe,0.9575073080400001
ID,2010,1,C1NGGCPCH,Globe,1.07963527536
ID,2010,1,C1NGHTF03,Globe,9.1458260923
ID,2010,1,C1NU00I00,Globe,11.9151056755
ID,2010,1,C1NULWP00,Globe,4.28600927173
ID,2010,1,C1OCCVP00,Globe,0.0019077892415999998
ID,2010,1,C1OI00I00,Globe,76.78614848
ID,2010,1,C1OIHTF03,Globe,6.7423006152
ID,2010,1,C1OIRFP00,Globe,13.110323202599998
ID,2010,2,C1OIRFP00,Globe,52.301571806
ID,2010,1,C1SOC1P00,Globe,0.042925257935999994
ID,2010,1,C1SOTHF00,Globe,0.46480685174
ID,2010,1,C1SOV1P00,Globe,0.121910623128
ID,2010,1,C1SOV2P00,Globe,0.09307699027199999
ID,2010,1,C1WDOFP00,Globe,0.022373164742399997
ID,2010,1,C1WDONP00,Globe,0.75568688279
ID,2010,1,CEMPLANT,Globe,5.4272729272
ID,2010,1,FERTPLANT,Globe,0.000195487328789
ID,2010,1,LA,Globe,2554.49999217
ID,2010,1,LA1,Globe,770.6000106199999
ID,2010,1,LA1_i,Globe,183.900001565
ID,2010,1,LA1_i_PROD,Globe,183.900001565
ID,2010,1,LA1_PROD,Globe,770.6000106199999
ID,2010,1,LA2,Globe,1600.0000029
ID,2010,1,LA2_PROD,Globe,1600.0000029
ID,2010,1,LandRes,Globe,6171.5255458
ID,2010,1,LF,Globe,1833.2
ID,2010,1,LF1,Globe,588.9155
ID,2010,1,LF2,Globe,1244.2845
ID,2010,1,LF2_PROD,Globe,1244.2845
ID,2010,1,LO,Globe,1783.8255078
ID,2010,1,MFOOFACTOR,Globe,2.74446121747
ID,2010,1,PAPPLANT,Globe,3.0372745412399995
ID,2010,1,PETAPLANT,Globe,4.8175849797e-06
ID,2010,1,PETBPLANT,Globe,18.331562323500002
ID,2010,1,STEPLANT,Globe,13.0903023671
ID,2010,1,VFOOFACTOR,Globe,33.343796153599996
ID,2010,1,XALUMINE,Globe,1.66278082419
ID,2010,1,XCEMMINE,Globe,22.523181914600002
ID,2010,1,XPHOMINE,Globe,6.2555942646e-07
ID,2010,1,XPOTMINE,Globe,1.36841129694e-07
ID,2010,1,XSTEMINE,Globe,20.1451241685
ID,2011,1,ALUPLANT,Globe,1.92512659311
ID,2011,1,C1BFRDF00,Globe,0.26746388
ID,2011,1,C1BMBRFH1,Globe,7.9493280749999995
ID,2011,1,C1BMBRFN1,Globe,1.011706416
ID,2011,1,C1BMCHP00,Globe,0.394348708008
ID,2011,1,C1BMHTF03,Globe,0.14311344640899998
ID,2011,1,C1BMLP000,Globe,3.06485265208
ID,2011,1,C1CO00I00,Globe,65.781604702
ID,2011,1,C1COBRFH1,Globe,2.84578561872
ID,2011,1,C1COCHP00,Globe,0.73492034736
ID,2011,1,C1COHTF03,Globe,17.9043130651
ID,2011,1,C1COIGP00,Globe,0.0433588464
ID,2011,1,C1COSCP00,Globe,16.325470481700002
ID,2011,1,C1ELEFF00,Globe,36.1347152879
ID,2011,1,C1ELRLF00,Globe,1.5150000184999999
ID,2011,1,C1GOCVP00,Globe,0.13874830848
ID,2011,1,C1GOHTF03,Globe,3.57777472511
ID,2011,1,C1HFGCPCH,Globe,0.12103621880899999
ID,2011,1,C1HFMRF00,Globe,40.23874
ID,2011,1,C1HTOOTFI,Globe,39.2272485267
ID,2011,1,C1HTOOTFR,Globe,2.60220915966
ID,2011,1,C1HYDMP00,Globe,5.614925695399999
ID,2011,1,C1HYMIP00,Globe,0.455884749834
ID,2011,1,C1LFBRFH1,Globe,7.2597162739
