REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALURCPLANT,2037,0.9692936824431683
Globe,ALURCPLANT,2038,1.891583797799076
Globe,ALURCPLANT,2039,2.7703683728509456
Globe,ALURCPLANT,2040,3.607306063376468
Globe,ALURCPLANT,2041,4.406361104383899
Globe,ALURCPLANT,2042,5.163516735102013
Globe,ALURCPLANT,2043,5.886494979806205
Globe,ALURCPLANT,2044,8.2806137180558
Globe,ALURCPLANT,2045,9.21491098596056
Globe,ALURCPLANT,2046,10.128611712066098
Globe,ALURCPLANT,2047,11.02414197805222
Globe,ALURCPLANT,2048,9.293084201163337
Globe,ALURCPLANT,2049,9.8469852456288
Globe,ALURCPLANT,2050,10.37417820853562
Globe,ALURCPLANT,2051,213.82259490690288
Globe,ALURCPLANT,2052,8.352870409967228
Globe,ALURCPLANT,2053,8.689132375280163
Globe,ALURCPLANT,2054,9.012043426428317
Globe,ALURCPLANT,2055,9.31438138107728
Globe,ALURCPLANT,2056,9.604857109670633
Globe,ALURCPLANT,2057,9.881500660711971
Globe,ALURCPLANT,2058,10.147967746459836
Globe,ALURCPLANT,2059,10.3958945651424
Globe,ALURCPLANT,2060,96.39244792324618
Globe,C1BMBRFH1,2054,23.06125379838848
Globe,C1BMBRFH1,2055,27.69577949219959
Globe,C1BMHTF03,2046,3.3909506699771232
Globe,C1BMHTF03,2047,3.0913392725631774
Globe,C1BMHTF03,2048,3.7683648263687575
Globe,C1BMHTF03,2049,4.279589338840246
Globe,C1BMHTF03,2050,30.844217985834973
Globe,C1BMHTF03,2051,8.067111120131164
Globe,C1BMHTF03,2052,8.246919293969233
Globe,C1BMHTF03,2053,8.475741524355008
Globe,C1BMHTF03,2054,8.80897553844589
Globe,C1BMHTF03,2055,9.23053720637936
Globe,C1BMHTF03,2056,4.0482992107385
Globe,C1BMHTF03,2057,1.1553897048536563
Globe,C1BMHTF03,2058,0.9406191850428953
Globe,C1BMHTF03,2059,0.8127391265468088
Globe,C1BMHTF03,2060,0.6441941408531116
Globe,C1BMIGPCS,2051,440.8146518188826
Globe,C1BMIGPCS,2052,453.5111999546607
Globe,C1BMIGPCS,2053,465.603150560163
Globe,C1BMIGPCS,2054,446.0096926916343
Globe,C1BMIGPCS,2055,18.88324730555496
Globe,C1BMIGPCS,2056,20.782040966566843
Globe,C1BMIGPCS,2057,22.27370636016028
Globe,C1BMIGPCS,2058,0.7891060918829114
Globe,C1COCHP00,2022,16.4843941583928
Globe,C1COCHP00,2039,131.2293475868637
Globe,C1COCHP00,2040,200.728428888832
Globe,C1COCHP00,2041,206.98829030585895
Globe,C1COCHP00,2042,212.95006308398
Globe,C1COCHP00,2043,218.62794192028505
Globe,C1COCHP00,2044,224.03544557391
Globe,C1COCHP00,2045,229.185449053552
Globe,C1COCHP00,2046,234.090214272259
Globe,C1COCHP00,2047,238.761419242456
Globe,C1COCHP00,2048,243.21018588074
Globe,C1COCHP00,2049,247.44710648862804
Globe,C1COCHP00,2050,124.62402506827311
Globe,C1COCHP00,2054,70.59324694996153
