REGION,TECHNOLOGY,YEAR,VALUE
Globe,C1BMBRFH1,2010,13.22932
Globe,C1BMBRFH1,2011,12.34714
Globe,C1BMBRFH1,2012,11.46496
Globe,C1BMBRFH1,2013,10.584469999999998
Globe,C1BMBRFH1,2014,9.70229
Globe,C1BMBRFH1,2015,8.82011
Globe,C1BMBRFH1,2016,7.93793
Globe,C1BMBRFH1,2017,7.055749999999999
Globe,C1BMBRFH1,2018,6.17357
Globe,C1BMBRFH1,2019,5.29139
Globe,C1BMBRFH1,2020,4.40921
Globe,C1BMBRFH1,2021,3.52872
Globe,C1BMBRFH1,2022,2.6465399999999994
Globe,C1BMBRFH1,2023,1.76436
Globe,C1BMBRFH1,2024,1.69
Globe,C1BMBRFH1,2025,1.69
Globe,C1BMBRFH1,2026,1.69
Globe,C1BMBRFH1,2027,1.69
Globe,C1BMBRFH1,2028,1.69
Globe,C1BMBRFH1,2029,1.69
Globe,C1BMBRFH1,2030,1.69
Globe,C1BMBRFH1,2031,1.69
Globe,C1BMBRFH1,2032,1.69
Globe,C1BMBRFH1,2033,1.69
Globe,C1BMBRFH1,2034,1.69
Globe,C1BMBRFH1,2035,1.69
Globe,C1BMBRFH1,2036,1.69
Globe,C1BMBRFH1,2037,1.69
Globe,C1BMBRFH1,2038,1.69
Globe,C1BMBRFH1,2039,1.69
Globe,C1BMBRFH1,2040,1.69
Globe,C1BMBRFH1,2041,1.69
Globe,C1BMBRFH1,2042,1.69
Globe,C1BMBRFH1,2043,1.69
Globe,C1BMBRFH1,2044,1.69
Globe,C1BMBRFH1,2045,1.69
Globe,C1BMBRFH1,2046,1.69
Globe,C1BMBRFH1,2047,1.69
Globe,C1BMBRFH1,2048,1.69
Globe,C1BMBRFH1,2049,1.69
Globe,C1BMBRFH1,2050,1.69
Globe,C1BMBRFH1,2051,1.69
Globe,C1BMBRFH1,2052,1.69
Globe,C1BMBRFH1,2053,1.69
Globe,C1BMBRFH1,2054,1.69
Globe,C1BMBRFH1,2055,1.69
Globe,C1BMBRFH1,2056,1.69
Globe,C1BMBRFH1,2057,1.69
Globe,C1BMBRFH1,2058,1.69
Globe,C1BMBRFH1,2059,1.69
Globe,C1BMBRFH1,2060,1.69
Globe,C1BMBRFN1,2010,0.2901628359054641
Globe,C1BMBRFN1,2011,0.2901628359054641
Globe,C1BMBRFN1,2012,0.2901628359054641
Globe,C1BMBRFN1,2013,0.2901628359054641
Globe,C1BMBRFN1,2014,0.2901628359054641
Globe,C1BMBRFN1,2015,0.2901628359054641
Globe,C1BMBRFN1,2016,0.2901628359054641
Globe,C1BMBRFN1,2017,0.2901628359054641
Globe,C1BMBRFN1,2018,0.2901628359054641
Globe,C1BMBRFN1,2019,0.2901628359054641
Globe,C1BMBRFN1,2020,0.2901628359054641
Globe,C1BMBRFN1,2021,0.2901628359054641
Globe,C1BMBRFN1,2022,0.2901628359054641
Globe,C1BMBRFN1,2023,0.2901628359054641
Globe,C1BMBRFN1,2024,0.2901628359054641
Globe,C1BMCHP00,2010,7.533
Globe,C1BMCHP00,2011,7.460099999999999
Globe,C1BMCHP00,2012,7.3791
Globe,C1BMCHP00,2013,7.2981
Globe,C1BMCHP00,2014,7.452
Globe,C1BMCHP00,2015,7.6545
Globe,C1BMCHP00,2016,10.778013775303718
Globe,C1BMCHP00,2017,10.980513775303717
Globe,C1BMCHP00,2018,11.239713775303716
Globe,C1BMCHP00,2019,11.474613775303718
Globe,C1BMCHP00,2020,11.766213775303717
Globe,C1BMCHP00,2021,12.025413775303715
Globe,C1BMCHP00,2022,10.948113775303717
Globe,C1BMCHP00,2023,10.138113775303717
Globe,C1BMCHP00,2024,9.530613775303715
Globe,C1BMCHP00,2025,9.077013775303717
Globe,C1BMCHP00,2026,8.728713775303717
Globe,C1BMCHP00,2027,8.477613775303716
Globe,C1BMCHP00,2028,8.283213775303716
Globe,C1BMCHP00,2029,8.137413775303717
Globe,C1BMCHP00,2030,8.032113775303717
Globe,C1BMCHP00,2031,7.708113775303716
Globe,C1BMCHP00,2032,7.708113775303716
Globe,C1BMCHP00,2033,7.708113775303716
Globe,C1BMCHP00,2034,7.708113775303716
Globe,C1BMCHP00,2035,7.708113775303716
Globe,C1BMCHP00,2036,7.708113775303716
Globe,C1BMCHP00,2037,7.708113775303716
Globe,C1BMCHP00,2038,7.708113775303716
Globe,C1BMCHP00,2039,7.708113775303716
Globe,C1BMCHP00,2040,7.708113775303716
Globe,C1BMCHP00,2041,7.708113775303716
Globe,C1BMCHP00,2042,7.708113775303716
Globe,C1BMCHP00,2043,7.708113775303716
Globe,C1BMCHP00,2044,7.708113775303716
Globe,C1BMCHP00,2045,2.8481137753037173
Globe,C1BMCHP00,2046,2.8481137753037173
Globe,C1BMCHP00,2047,2.8481137753037173
Globe,C1BMCHP00,2048,2.8481137753037173
Globe,C1BMCHP00,2049,2.8481137753037173
Globe,C1BMCHP00,2050,2.8481137753037173
Globe,C1BMHTF03,2010,17.608464950427795
Globe,C1BMHTF03,2011,17.137214950427794
Globe,C1BMHTF03,2012,16.665964950427796
Globe,C1BMHTF03,2013,16.198484950427794
Globe,C1BMHTF03,2014,15.727234950427794
Globe,C1BMHTF03,2015,15.255984950427795
Globe,C1BMHTF03,2016,14.784734950427794
Globe,C1BMHTF03,2017,14.313484950427796
Globe,C1BMHTF03,2018,13.842234950427793
Globe,C1BMHTF03,2019,13.370984950427795
Globe,C1BMHTF03,2020,12.903504950427793
Globe,C1BMHTF03,2021,12.432254950427794
Globe,C1BMHTF03,2022,11.961004950427794
Globe,C1BMHTF03,2023,11.489754950427795
Globe,C1BMHTF03,2024,11.018504950427793
Globe,C1BMHTF03,2025,10.547254950427794
Globe,C1BMHTF03,2026,10.076004950427793
Globe,C1BMHTF03,2027,9.608524950427794
Globe,C1BMHTF03,2028,9.137274950427793
Globe,C1BMHTF03,2029,8.666024950427795
Globe,C1BMHTF03,2030,1.8850000000000002
Globe,C1BMHTF03,2031,1.8850000000000002
Globe,C1BMHTF03,2032,1.8850000000000002
Globe,C1BMHTF03,2033,1.8850000000000002
Globe,C1BMHTF03,2034,1.8850000000000002
Globe,C1BMHTF03,2035,1.8850000000000002
Globe,C1BMHTF03,2036,1.8850000000000002
Globe,C1BMHTF03,2037,1.8850000000000002
Globe,C1BMHTF03,2038,1.8850000000000002
Globe,C1BMHTF03,2039,1.8850000000000002
Globe,C1BMHTF03,2040,1.8850000000000002
Globe,C1BMHTF03,2041,1.8850000000000002
Globe,C1BMHTF03,2042,1.8850000000000002
Globe,C1BMHTF03,2043,1.8850000000000002
Globe,C1BMHTF03,2044,1.8850000000000002
Globe,C1BMHTF03,2045,1.8850000000000002
Globe,C1BMHTF03,2046,2.2893720252828618
Globe,C1BMHTF03,2047,2.6038182898327062
Globe,C1BMHTF03,2048,2.9400522076852864
Globe,C1BMHTF03,2049,3.2819125156553035
Globe,C1BMHTF03,2050,3.6373471378457953
Globe,C1BMHTF03,2051,4.176731293677803
Globe,C1BMHTF03,2052,4.6893249121829665
Globe,C1BMHTF03,2053,5.183043706291543
Globe,C1BMHTF03,2054,5.667204507387543
Globe,C1BMHTF03,2055,6.14864924180919
Globe,C1BMHTF03,2056,6.35001452311743
Globe,C1BMHTF03,2057,6.405055180967727
Globe,C1BMHTF03,2058,6.4481304784157984
Globe,C1BMHTF03,2059,6.4840265596224125
Globe,C1BMHTF03,2060,6.511546888547651
Globe,C1BMIGPCS,2021,8.57554
Globe,C1BMIGPCS,2022,17.11534
Globe,C1BMIGPCS,2023,25.619400000000002
Globe,C1BMIGPCS,2024,33.53202539355729
Globe,C1BMIGPCS,2025,33.79071761861682
Globe,C1BMIGPCS,2026,34.073469976451456
Globe,C1BMIGPCS,2027,34.3726684023432
Globe,C1BMIGPCS,2028,34.31300877140058
Globe,C1BMIGPCS,2029,34.24044764242447
Globe,C1BMIGPCS,2030,34.167845908451724
Globe,C1BMIGPCS,2031,34.167845908451724
Globe,C1BMIGPCS,2032,34.167845908451724
Globe,C1BMIGPCS,2033,34.167845908451724
Globe,C1BMIGPCS,2034,34.167845908451724
Globe,C1BMIGPCS,2035,34.167845908451724
Globe,C1BMIGPCS,2036,34.167845908451724
Globe,C1BMIGPCS,2037,34.167845908451724
Globe,C1BMIGPCS,2038,34.167845908451724
Globe,C1BMIGPCS,2039,34.167845908451724
Globe,C1BMIGPCS,2040,34.167845908451724
Globe,C1BMIGPCS,2041,34.167845908451724
Globe,C1BMIGPCS,2042,34.167845908451724
Globe,C1BMIGPCS,2043,34.167845908451724
Globe,C1BMIGPCS,2044,34.167845908451724
Globe,C1BMIGPCS,2045,34.167845908451724
Globe,C1BMIGPCS,2046,34.167845908451724
Globe,C1BMIGPCS,2047,34.167845908451724
Globe,C1BMIGPCS,2048,34.167845908451724
Globe,C1BMIGPCS,2049,34.167845908451724
Globe,C1BMIGPCS,2050,34.167845908451724
Globe,C1BMIGPCS,2051,34.16784590845172
Globe,C1BMIGPCS,2052,34.1678459084517
Globe,C1BMIGPCS,2053,34.1678459084517
Globe,C1BMIGPCS,2054,34.16784590845172
Globe,C1BMIGPCS,2055,34.1678459084517
Globe,C1BMIGPCS,2056,34.16784590845172
Globe,C1BMIGPCS,2057,34.1678459084517
Globe,C1BMIGPCS,2058,34.16784590845171
Globe,C1BMIGPCS,2059,34.16784590845171
Globe,C1BMIGPCS,2060,34.16784590845171
Globe,C1BMSCP00,2010,5.9163
Globe,C1BMSCP00,2011,5.6452725
Globe,C1BMSCP00,2012,5.38755
Globe,C1BMSCP00,2013,5.132032499999999
Globe,C1BMSCP00,2014,5.34699
Globe,C1BMSCP00,2015,5.6463375000000005
Globe,C1BMSCP00,2016,6.093525
Globe,C1BMSCP00,2017,6.3429075
Globe,C1BMSCP00,2018,6.664319999999999
Globe,C1BMSCP00,2019,6.92913
Globe,C1BMSCP00,2020,7.2756
Globe,C1BMSCP00,2021,7.492019999999999
Globe,C1BMSCP00,2022,5.59098
Globe,C1BMSCP00,2023,4.1774175
Globe,C1BMSCP00,2024,3.1095
Globe,C1BMSCP00,2025,2.3203125
Globe,C1BMSCP00,2026,1.7339399999999998
Globe,C1BMSCP00,2027,1.2963525
Globe,C1BMSCP00,2028,0.9647249999999999
Globe,C1BMSCP00,2029,0.7172775000000001
Globe,C1BMSCP00,2030,0.53265
Globe,C1COBRFH1,2010,1.4735500000000001
Globe,C1COBRFH1,2011,1.92985
Globe,C1COBRFH1,2012,2.3868
Globe,C1COBRFH1,2013,2.8431
Globe,C1COBRFH1,2014,2.7794
Globe,C1COBRFH1,2015,2.7157
Globe,C1COBRFH1,2016,2.7029897006678176
Globe,C1COBRFH1,2017,2.639289700667818
Globe,C1COBRFH1,2018,2.576239700667818
Globe,C1COBRFH1,2019,2.97755512246429
Globe,C1COBRFH1,2020,2.9138551224642906
Globe,C1COBRFH1,2021,2.8501551224642907
Globe,C1COBRFH1,2022,2.7864551224642904
Globe,C1COBRFH1,2023,2.7234051224642903
Globe,C1COBRFH1,2024,2.65970512246429
Globe,C1COBRFH1,2025,2.07600512246429
Globe,C1COBRFH1,2026,1.5560051224642906
Globe,C1COBRFH1,2027,1.0360051224642906
Globe,C1COBRFH1,2028,0.5160051224642905
Globe,C1COBRFH1,2029,0.5160051224642905
Globe,C1COBRFH1,2030,0.5160051224642905
Globe,C1COBRFH1,2031,0.46501542179647243
Globe,C1COBRFH1,2032,0.46501542179647243
Globe,C1COBRFH1,2033,0.46501542179647243
Globe,C1COCHP00,2010,20.6955
Globe,C1COCHP00,2011,20.6955
Globe,C1COCHP00,2012,20.4435
Globe,C1COCHP00,2013,20.181
Globe,C1COCHP00,2014,20.52071035872034
Globe,C1COCHP00,2015,30.758210358720344
Globe,C1COCHP00,2016,41.00621035872034
Globe,C1COCHP00,2017,51.243710358720335
Globe,C1COCHP00,2018,61.48121035872033
Globe,C1COCHP00,2019,71.72921035872034
Globe,C1COCHP00,2020,81.96671035872033
Globe,C1COCHP00,2021,92.20421035872035
Globe,C1COCHP00,2022,102.44171035872033
Globe,C1COCHP00,2023,102.18971035872033
Globe,C1COCHP00,2024,101.92721035872034
Globe,C1COCHP00,2025,101.66471035872034
Globe,C1COCHP00,2026,99.63821035872034
Globe,C1COCHP00,2027,98.22071035872034
Globe,C1COCHP00,2028,97.23371035872033
Globe,C1COCHP00,2029,96.53021035872034
Globe,C1COCHP00,2030,96.04721035872033
Globe,C1COCHP00,2031,95.10221035872034
Globe,C1COCHP00,2032,95.10221035872034
Globe,C1COCHP00,2033,95.10221035872034
Globe,C1COCHP00,2034,95.10221035872034
Globe,C1COCHP00,2035,95.10221035872034
Globe,C1COCHP00,2036,95.10221035872034
Globe,C1COCHP00,2037,95.10221035872034
Globe,C1COCHP00,2038,95.10221035872034
Globe,C1COCHP00,2039,102.19913844802946
Globe,C1COCHP00,2040,112.69913844802946
Globe,C1COCHP00,2041,123.19913844802947
Globe,C1COCHP00,2042,133.6991384480295
Globe,C1COCHP00,2043,144.1991384480295
Globe,C1COCHP00,2044,154.6991384480295
Globe,C1COCHP00,2045,165.1991384480295
Globe,C1COCHP00,2046,175.6991384480295
Globe,C1COCHP00,2047,186.19913844802952
Globe,C1COCHP00,2048,196.69913844802952
Globe,C1COCHP00,2049,207.19913844802952
Globe,C1COCHP00,2050,201.90249639673976
Globe,C1COCHP00,2051,201.90249639673976
Globe,C1COCHP00,2052,201.90249639673976
Globe,C1COCHP00,2053,201.90249639673976
Globe,C1COCHP00,2054,204.0890553156229
Globe,C1COCHP00,2055,204.0890553156229
Globe,C1COCHP00,2056,204.0890553156229
Globe,C1COCHP00,2057,204.0890553156229
Globe,C1COCHP00,2058,204.08905531562291
Globe,C1COCHP00,2059,204.08905531562291
Globe,C1COCHP00,2060,198.85819904998567
Globe,C1COHTF03,2010,7.134036
Globe,C1COHTF03,2011,7.637448
Globe,C1COHTF03,2012,8.140314
Globe,C1COHTF03,2013,8.643726
Globe,C1COHTF03,2014,9.147138
Globe,C1COHTF03,2015,9.65055
Globe,C1COHTF03,2016,10.153416
Globe,C1COHTF03,2017,10.656827999999999
Globe,C1COHTF03,2018,11.160239999999998
Globe,C1COHTF03,2019,11.663105999999999
Globe,C1COHTF03,2020,12.166518
Globe,C1COHTF03,2021,12.669929999999997
Globe,C1COHTF03,2022,12.353795999999997
Globe,C1COHTF03,2023,12.038207999999997
Globe,C1COHTF03,2024,11.722619999999996
Globe,C1COHTF03,2025,11.407031999999997
Globe,C1COHTF03,2026,9.827999999999998
Globe,C1COHTF03,2027,9.827999999999998
Globe,C1COHTF03,2028,9.827999999999998
Globe,C1COHTF03,2029,9.827999999999998
Globe,C1COHTF03,2030,9.008999999999999
Globe,C1COHTF03,2031,8.19
Globe,C1COHTF03,2032,7.3709999999999996
Globe,C1COHTF03,2033,6.552
Globe,C1COHTF03,2034,5.7330000000000005
Globe,C1COHTF03,2035,4.914
Globe,C1COHTF03,2036,4.095
Globe,C1COHTF03,2037,3.276
Globe,C1COHTF03,2038,2.457
Globe,C1COHTF03,2039,1.638
Globe,C1COHTF03,2040,0.819
Globe,C1COIGP00,2010,0.148
Globe,C1COIGP00,2011,0.148
Globe,C1COIGP00,2012,0.148
Globe,C1COIGP00,2013,0.148
Globe,C1COIGP00,2014,0.148
Globe,C1COIGP00,2015,0.148
Globe,C1COIGP00,2016,0.148
Globe,C1COIGP00,2017,0.148
Globe,C1COIGP00,2018,0.148
Globe,C1COIGP00,2019,0.148
Globe,C1COIGP00,2020,0.148
Globe,C1COIGP00,2021,0.148
Globe,C1COIGP00,2022,0.148
Globe,C1COIGP00,2023,0.148
Globe,C1COIGP00,2024,0.148
Globe,C1COIGP00,2025,0.148
Globe,C1COIGP00,2026,0.148
Globe,C1COIGP00,2027,0.148
Globe,C1COIGP00,2028,0.148
Globe,C1COIGP00,2029,0.148
Globe,C1COIGP00,2030,0.148
Globe,C1COLP000,2010,3.072
Globe,C1COLP000,2011,3.0608
Globe,C1COLP000,2012,3.0496
Globe,C1COLP000,2013,3.0384
Globe,C1COLP000,2014,3.0272
Globe,C1COLP000,2015,3.016
Globe,C1COLP000,2016,3.0048
Globe,C1COLP000,2017,2.9936
Globe,C1COLP000,2018,2.9824
Globe,C1COLP000,2019,2.9712
Globe,C1COLP000,2020,2.96
Globe,C1COLP000,2021,2.8904
Globe,C1COLP000,2022,2.8208
Globe,C1COLP000,2023,2.7512
Globe,C1COLP000,2024,2.6816
Globe,C1COLP000,2025,2.612
Globe,C1COLP000,2026,2.5424
Globe,C1COLP000,2027,2.4728
Globe,C1COLP000,2028,2.4032
Globe,C1COLP000,2029,2.3336
Globe,C1COSCP00,2010,66.91159999999999
Globe,C1COSCP00,2011,69.27011885817338
Globe,C1COSCP00,2012,67.56811885817338
Globe,C1COSCP00,2013,69.552
Globe,C1COSCP00,2014,71.53
Globe,C1COSCP00,2015,74.19340000000001
Globe,C1COSCP00,2016,76.1668
Globe,C1COSCP00,2017,77.6388
Globe,C1COSCP00,2018,78.21379999999999
Globe,C1COSCP00,2019,79.8422
Globe,C1COSCP00,2020,80.3528
Globe,C1COSCP00,2021,78.6508
Globe,C1COSCP00,2022,76.94420000000001
Globe,C1COSCP00,2023,75.2422
Globe,C1COSCP00,2024,73.5356
Globe,C1COSCP00,2025,71.8336
Globe,C1COSCP00,2026,59.064
Globe,C1COSCP00,2027,50.126200000000004
Globe,C1COSCP00,2028,43.8702
Globe,C1COSCP00,2029,39.491
Globe,C1COSCP00,2030,36.427400000000006
Globe,C1COSCP00,2031,30.4842
Globe,C1COSCP00,2032,30.4842
Globe,C1COSCP00,2033,30.4842
Globe,C1COSCP00,2034,30.4842
Globe,C1COSCP00,2035,30.4842
Globe,C1COSCP00,2036,30.4842
Globe,C1COSCP00,2037,30.4842
Globe,C1COSCP00,2038,30.4842
Globe,C1COSCP00,2039,30.4842
Globe,C1COSCP00,2040,30.4842
Globe,C1COSCP00,2041,30.4842
Globe,C1COSCP00,2042,30.4842
Globe,C1COSCP00,2043,30.4842
Globe,C1COSCP00,2044,30.4842
Globe,C1COSCP00,2045,30.4842
Globe,C1COSCP00,2046,30.4842
Globe,C1COSCP00,2047,30.4842
Globe,C1COSCP00,2048,30.4842
Globe,C1COSCP00,2049,30.4842
Globe,C1COSCP00,2050,30.4842
Globe,C1COSCP00,2051,26.419081141826624
Globe,C1COSCP00,2052,26.419081141826624
Globe,C1COSCP00,2053,22.7286
Globe,C1COSCP00,2054,19.0486
Globe,C1COSCP00,2055,14.683200000000001
Globe,C1COSCP00,2056,11.0032
Globe,C1COSCP00,2057,7.829200000000002
Globe,C1COSCP00,2058,5.5475999999999965
Globe,C1COSCP00,2059,2.2171999999999956
Globe,C1COSCPCS,2021,6.6647300000000005
Globe,C1COSCPCS,2022,13.255000000000003
Globe,C1COSCPCS,2023,19.77081
Globe,C1COSCPCS,2024,26.21216
Globe,C1COSCPCS,2025,26.457403703557677
Globe,C1COSCPCS,2026,26.30623130110772
Globe,C1COSCPCS,2027,26.155058898657753
Globe,C1COSCPCS,2028,26.003845891211164
Globe,C1COSCPCS,2029,25.852673488761205
Globe,C1COSCPCS,2030,25.701501086311243
Globe,C1COSCPCS,2031,25.701501086311243
Globe,C1COSCPCS,2032,25.701501086311243
Globe,C1COSCPCS,2033,25.701501086311243
Globe,C1COSCPCS,2034,25.701501086311243
Globe,C1COSCPCS,2035,25.701501086311243
Globe,C1COSCPCS,2036,25.701501086311243
Globe,C1COSCPCS,2037,25.701501086311243
Globe,C1COSCPCS,2038,25.701501086311243
Globe,C1COSCPCS,2039,25.701501086311243
Globe,C1COSCPCS,2040,25.701501086311243
Globe,C1COSCPCS,2041,25.701501086311243
Globe,C1COSCPCS,2042,25.701501086311243
Globe,C1COSCPCS,2043,25.701501086311243
Globe,C1COSCPCS,2044,25.701501086311243
Globe,C1COSCPCS,2045,25.701501086311243
Globe,C1COSCPCS,2046,25.701501086311243
Globe,C1COSCPCS,2047,25.701501086311243
Globe,C1COSCPCS,2048,25.701501086311243
Globe,C1COSCPCS,2049,25.701501086311243
Globe,C1COSCPCS,2050,25.701501086311243
Globe,C1COSCPCS,2051,25.701501086311243
Globe,C1COSCPCS,2052,25.701501086311243
Globe,C1COSCPCS,2053,25.701501086311243
Globe,C1COSCPCS,2054,25.701501086311243
Globe,C1COSCPCS,2055,25.701501086311243
Globe,C1COSCPCS,2056,25.701501086311243
Globe,C1COSCPCS,2057,25.701501086311243
Globe,C1COSCPCS,2058,25.701501086311243
Globe,C1COSCPCS,2059,25.701501086311243
Globe,C1COSCPCS,2060,25.701501086311243
Globe,C1COSF000,2010,2.0999999999999996
Globe,C1COSF000,2011,2.0999999999999996
Globe,C1COSF000,2012,2.0999999999999996
Globe,C1COSF000,2013,2.0999999999999996
Globe,C1COSF000,2014,2.0999999999999996
Globe,C1COSF000,2015,2.0999999999999996
Globe,C1COSF000,2016,2.0999999999999996
Globe,C1COSF000,2017,2.0999999999999996
Globe,C1COSF000,2018,2.0999999999999996
Globe,C1COSF000,2019,2.0999999999999996
Globe,C1COSF000,2020,2.0999999999999996
Globe,C1COSF000,2021,2.0999999999999996
Globe,C1COSF000,2022,2.0999999999999996
Globe,C1COSF000,2023,2.0999999999999996
Globe,C1COSF000,2024,2.0999999999999996
Globe,C1COSF000,2025,2.0999999999999996
Globe,C1COSF000,2026,2.0999999999999996
Globe,C1COSF000,2027,2.0999999999999996
Globe,C1COSF000,2028,2.0999999999999996
Globe,C1COSF000,2029,2.0999999999999996
Globe,C1GOCVP00,2010,8.352
Globe,C1GOCVP00,2011,8.352
Globe,C1GOCVP00,2012,8.352
Globe,C1GOCVP00,2013,8.352
Globe,C1GOCVP00,2014,8.352
Globe,C1GOCVP00,2015,8.532
Globe,C1GOCVP00,2016,8.988
Globe,C1GOCVP00,2017,9.168
Globe,C1GOCVP00,2018,9.276000000000002
Globe,C1GOCVP00,2019,9.936
Globe,C1GOCVP00,2020,10.091999999999999
Globe,C1GOCVP00,2021,10.224
Globe,C1GOCVP00,2022,11.591999999999999
Globe,C1GOCVP00,2023,11.592
Globe,C1GOCVP00,2024,11.591999999999999
Globe,C1GOCVP00,2025,11.592
Globe,C1GOCVP00,2026,11.592000000000002
Globe,C1GOCVP00,2027,11.592000000000002
Globe,C1GOCVP00,2028,11.592000000000002
Globe,C1GOCVP00,2029,11.592000000000002
Globe,C1GOCVP00,2030,11.592000000000002
Globe,C1GOCVP00,2031,11.592000000000002
Globe,C1GOCVP00,2032,11.592000000000002
Globe,C1GOCVP00,2033,11.592000000000002
Globe,C1GOCVP00,2034,11.592000000000002
Globe,C1GOCVP00,2035,11.592000000000002
Globe,C1GOCVP00,2036,11.592000000000002
Globe,C1GOCVP00,2037,11.592000000000002
Globe,C1GOCVP00,2038,11.592000000000002
Globe,C1GOCVP00,2039,11.592000000000002
Globe,C1GOCVP00,2040,11.592000000000002
Globe,C1GOCVP00,2041,11.592000000000002
Globe,C1GOCVP00,2042,11.736
Globe,C1GOCVP00,2043,12.444000000000003
Globe,C1GOCVP00,2044,13.152000000000003
Globe,C1GOCVP00,2045,13.860000000000003
Globe,C1GOCVP00,2046,14.424
Globe,C1GOCVP00,2047,14.988
Globe,C1GOCVP00,2048,15.563999999999998
Globe,C1GOCVP00,2049,16.127999999999997
Globe,C1GOCVP00,2050,16.691999999999997
Globe,C1GOCVP00,2051,16.691999999999997
Globe,C1GOCVP00,2052,16.691999999999997
Globe,C1GOCVP00,2053,16.691999999999997
Globe,C1GOCVP00,2054,16.691999999999997
Globe,C1GOCVP00,2055,16.691999999999997
Globe,C1GOCVP00,2056,16.691999999999997
Globe,C1GOCVP00,2057,16.691999999999997
Globe,C1GOCVP00,2058,16.691999999999997
Globe,C1GOCVP00,2059,16.691999999999997
Globe,C1GOCVP00,2060,16.691999999999997
Globe,C1HFGCP00,2010,9.3024
Globe,C1HFGCP00,2011,8.8236
Globe,C1HFGCP00,2012,8.567999999999996
Globe,C1HFGCP00,2013,8.560799999999997
Globe,C1HFGCP00,2014,8.603999999999997
Globe,C1HFGCP00,2015,8.351999999999997
Globe,C1HFGCP00,2016,8.441999999999997
Globe,C1HFGCP00,2017,8.398799999999996
Globe,C1HFGCP00,2018,8.560799999999997
Globe,C1HFGCP00,2019,8.657999999999998
Globe,C1HFGCP00,2020,8.621999999999998
Globe,C1HFGCP00,2021,8.143199999999997
Globe,C1HFGCP00,2022,7.664399999999997
Globe,C1HFGCP00,2023,7.185599999999997
Globe,C1HFGCP00,2024,6.710399999999997
Globe,C1HFGCP00,2025,6.231599999999997
Globe,C1HFGCP00,2026,4.103999999999997
Globe,C1HFGCP00,2027,4.103999999999997
Globe,C1HFGCP00,2028,4.103999999999997
Globe,C1HFGCP00,2029,4.103999999999997
Globe,C1HFGCP00,2030,4.103999999999997
Globe,C1HFGCP00,2031,4.103999999999997
Globe,C1HFGCP00,2032,4.103999999999997
Globe,C1HFGCP00,2033,4.103999999999997
Globe,C1HFGCP00,2034,4.103999999999997
Globe,C1HFGCP00,2035,4.103999999999997
Globe,C1HFGCP00,2036,4.103999999999997
Globe,C1HFGCP00,2037,4.103999999999997
Globe,C1HFGCP00,2038,4.103999999999997
Globe,C1HFGCP00,2039,4.103999999999997
Globe,C1HFGCP00,2040,4.103999999999997
Globe,C1HFGCP00,2041,4.103999999999997
Globe,C1HFGCP00,2042,3.8808000000000007
Globe,C1HFGCP00,2043,3.4092000000000002
Globe,C1HFGCP00,2044,2.8872000000000004
Globe,C1HFGCP00,2045,2.6604
Globe,C1HFGCP00,2046,2.0916
Globe,C1HFGCP00,2047,1.6596000000000002
Globe,C1HFGCP00,2048,1.0188000000000006
Globe,C1HFGCP00,2049,0.44280000000000014
Globe,C1HFGCPCH,2010,1.0748
Globe,C1HFGCPCH,2011,1.0508000000000002
Globe,C1HFGCPCH,2012,1.0308000000000002
Globe,C1HFGCPCH,2013,1.0108000000000001
Globe,C1HFGCPCH,2014,0.9908
Globe,C1HFGCPCH,2015,1.1252382001771946
Globe,C1HFGCPCH,2016,1.8804628990820302
Globe,C1HFGCPCH,2017,1.8604628990820302
Globe,C1HFGCPCH,2018,1.8364628990820302
Globe,C1HFGCPCH,2019,2.6164628990820304
Globe,C1HFGCPCH,2020,3.3964628990820307
Globe,C1HFGCPCH,2021,4.176462899082031
Globe,C1HFGCPCH,2022,4.152462899082031
Globe,C1HFGCPCH,2023,4.13366289908203
Globe,C1HFGCPCH,2024,4.13366289908203
Globe,C1HFGCPCH,2025,4.13366289908203
Globe,C1HFGCPCH,2026,4.13366289908203
Globe,C1HFGCPCH,2027,4.13366289908203
Globe,C1HFGCPCH,2028,4.13366289908203
Globe,C1HFGCPCH,2029,4.13366289908203
Globe,C1HFGCPCH,2030,4.13366289908203
Globe,C1HFGCPCH,2031,4.13366289908203
Globe,C1HFGCPCH,2032,4.13366289908203
Globe,C1HFGCPCH,2033,4.13366289908203
Globe,C1HFGCPCH,2034,4.13366289908203
Globe,C1HFGCPCH,2035,3.3336628990820305
Globe,C1HFGCPCH,2036,3.3336628990820305
Globe,C1HFGCPCH,2037,3.3336628990820305
Globe,C1HFGCPCH,2038,3.3336628990820305
Globe,C1HFGCPCH,2039,3.3336628990820305
Globe,C1HFGCPCH,2040,3.1752246989048363
Globe,C1HFGCPCH,2041,2.4
Globe,C1HFGCPCH,2042,2.4
Globe,C1HFGCPCH,2043,2.4
Globe,C1HFGCPCH,2044,1.6
Globe,C1HFGCPCH,2045,0.8
Globe,C1HPINF0I,2026,0.04128569250864571
Globe,C1HPINF0I,2027,0.04720144030400219
Globe,C1HPINF0I,2028,0.053086052584646264
Globe,C1HPINF0I,2029,0.05900180038000274
Globe,C1HPINF0I,2030,0.0648864126606468
Globe,C1HPINF0I,2031,0.07668677273664734
