VALUE,C1_F_CLS,C1_F_HEA_I,C1_P_HCO,C1_P_LFO,C1_P_GAS,C1_F_HEA_IHP
2010,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,0.0,0.0,0.0,0.0,0.0
2012,0.0,0.0,0.0,0.0,0.0,0.0
2013,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0.0,0.0,0.0,0.0,0.0
2015,0.0,0.0,0.0,0.0,0.0,0.0
2016,0.0,0.0,0.0,0.0,0.0,0.0
2017,0.0,0.0,0.0,0.0,0.0,0.0
2018,0.0,0.0,0.0,0.0,0.0,0.0
2019,0.0,0.0,0.0,0.0,0.0,0.0
2020,0.0,0.0,0.0,0.0,0.0,0.0
2021,0.0,0.0,0.0,0.0,0.0,0.0
2022,0.0,0.0,0.0,0.0,0.0,0.0
2023,0.0,0.0,0.0,0.0,0.0,0.0
2024,0.0,0.0,0.0,0.0,0.0,0.0
2025,0.0,0.0,0.0,0.0,0.0,0.0
2026,0.0,0.0,0.0,0.0,0.0,0.0
2027,0.0,0.0,0.0,0.0,0.0,0.0
2028,0.0,0.0,0.0,0.0,0.0,0.0
2029,0.0,0.0,0.0,0.0,0.0,0.0
2030,0.0018168603306595,0.0011535621147044,0.0004981290949858999,0.0073268672497591,0.001555561033465,0.004649204886536
2031,0.1595089322698588,0.1021818295008218,0.0441239718299002,0.6490094382840084,0.1377906488723204,0.4118237370790702
2032,0.31452833068263186,0.2033090428975437,0.087792541251212,1.2913204664037936,0.2741591639072939,0.8193970516779796
2033,0.4668811333934813,0.3045388534039292,0.1315054139698784,1.9342831416201083,0.41066602959014686,1.2273838637188665
2034,0.6165515933167933,0.4058687927279907,0.1752615241325414,2.5778817865389962,0.5473079174665331,1.6357742252370542
2035,0.7635445207035696,0.5072976944012926,0.2190603680369217,3.222108992318513,0.6840832545714399,2.0445634350112707
2036,0.9078335310975492,0.6088199263571431,0.2628995136542208,3.8669289868017334,0.8209844461482686,2.4537287941060617
2037,1.0494379581052216,0.7104397775732065,0.3067808130429755,4.5123690114952755,0.9580172758184147,2.8632875884011053
2038,1.1883274322588018,0.8121529515282273,0.350702410887189,5.158401776979287,1.095175949788064,3.273222501613765
2039,1.3245209760740857,0.9139593553538983,0.39466426708463787,5.805026693399306,1.2324603428257113,3.6835331594566205
2040,6.005682648994346,4.184481972379275,1.8069353971637778,26.577800648808967,5.642710538511446,16.864730373528594
2041,6.004957891008393,4.225101764405766,1.8244757619024896,26.83579787331662,5.697485712607774,17.028440444423236
2042,6.001959877889227,4.2649585695595285,1.8416866550370694,27.088948975141733,5.751232010466637,17.189075447012648
2043,5.996771669581614,4.303996717984152,1.858544037311338,27.33690036634782,5.803874362130143,17.346411014905826
2044,5.989405139079456,4.3422940537073,1.8750815231917888,27.580146474456065,5.855517739090147,17.500760883123363
2045,5.980041594632085,4.3798646726412125,1.8913051995496144,27.818776829866607,5.906181149470725,17.65218186246307
2046,5.9685861937558995,4.416713631437262,1.9072172499388176,28.052823549977276,5.955871412089641,17.800694332762298
2047,5.955219550611605,4.452853699419562,1.92282318838572,28.282367739343645,6.004605746186986,17.946349758266724
2048,5.939903520148218,4.488335134578766,1.938144717204467,28.507728612354832,6.0524519239016685,18.08935069390836
2049,5.922814668420676,4.523168232018845,1.9531862820081374,28.728971558519696,6.099423828025412,18.229738632075954
2050,5.903848433816099,4.557356685752778,1.9679494779386995,28.946120040417643,6.145526439878747,18.367528460761196
