REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALURCPLANT,2037,0.9692936824431683
Globe,ALURCPLANT,2038,1.891583797799076
Globe,ALURCPLANT,2039,2.7703683728509456
Globe,ALURCPLANT,2040,3.607306063376468
Globe,ALURCPLANT,2041,4.406361104383899
Globe,ALURCPLANT,2042,5.163516735102013
Globe,ALURCPLANT,2043,5.886494979806168
Globe,ALURCPLANT,2044,8.2806137180558
Globe,ALURCPLANT,2045,9.21491098596056
Globe,ALURCPLANT,2046,10.128611712066148
Globe,ALURCPLANT,2047,11.024141978052164
Globe,ALURCPLANT,2048,9.293084201163396
Globe,ALURCPLANT,2049,9.8469852456288
Globe,ALURCPLANT,2050,10.374178208535556
Globe,ALURCPLANT,2051,213.82259490690288
Globe,ALURCPLANT,2052,8.352870409967245
Globe,ALURCPLANT,2053,8.689132375280163
Globe,ALURCPLANT,2054,9.012043426428397
Globe,ALURCPLANT,2055,9.314381381077174
Globe,ALURCPLANT,2056,9.604857109670633
Globe,ALURCPLANT,2057,9.88150066071198
Globe,ALURCPLANT,2058,10.147967746459887
Globe,ALURCPLANT,2059,10.395894565142417
Globe,ALURCPLANT,2060,96.39244792324618
Globe,C1BMBRFH1,2054,23.06125379838848
Globe,C1BMBRFH1,2055,27.69577949219959
Globe,C1BMHTF03,2047,7.0667438596469205
Globe,C1BMHTF03,2048,3.7683648263687446
Globe,C1BMHTF03,2049,4.279589338840244
Globe,C1BMHTF03,2050,30.844217985834945
Globe,C1BMHTF03,2051,8.067111120131258
Globe,C1BMHTF03,2052,8.246919293969214
Globe,C1BMHTF03,2053,8.475741524354937
Globe,C1BMHTF03,2054,8.808975538446008
Globe,C1BMHTF03,2055,9.230537206379331
Globe,C1BMHTF03,2056,4.04829921073858
Globe,C1BMHTF03,2057,1.1553897048534627
Globe,C1BMHTF03,2058,0.9406191850432293
Globe,C1BMHTF03,2059,0.8127391265493785
Globe,C1BMHTF03,2060,0.6441941408506024
Globe,C1BMIGPCS,2051,440.81465181888257
Globe,C1BMIGPCS,2052,453.511199954661
Globe,C1BMIGPCS,2053,465.603150560163
Globe,C1BMIGPCS,2054,446.00969269163375
Globe,C1BMIGPCS,2055,18.883247305554
Globe,C1BMIGPCS,2056,20.78204096656884
Globe,C1BMIGPCS,2057,22.273706360158975
Globe,C1BMIGPCS,2058,0.7891060918837554
Globe,C1COCHP00,2022,16.4843941583928
Globe,C1COCHP00,2023,6.788766612995189
Globe,C1COCHP00,2039,83.09940121165593
Globe,C1COCHP00,2040,200.728428888832
Globe,C1COCHP00,2041,206.98829030585895
Globe,C1COCHP00,2042,212.95006308398
Globe,C1COCHP00,2043,218.62794192028505
Globe,C1COCHP00,2044,224.03544557391
Globe,C1COCHP00,2045,229.185449053552
Globe,C1COCHP00,2046,234.090214272259
Globe,C1COCHP00,2047,238.761419242456
Globe,C1COCHP00,2048,243.21018588074
Globe,C1COCHP00,2049,247.44710648862804
Globe,C1COCHP00,2050,251.48226897233096
Globe,C1COCHP00,2051,255.325280861573
